trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9900498337491681, 'e': 0.9900498337491681}",20,0,-99.70492462671858,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.9801986733067553, 'e': 0.9801986733067553}",35,0,-175.17540143150018,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.9704455335485082, 'e': 0.9704455335485082}",30,0,-185.25209580128748,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.9607894391523232, 'e': 0.9607894391523232}",25,5,-45.38936274063409,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",1
5,False,"{'a': 0.951229424500714, 'e': 0.951229424500714}",25,0,-114.7467596616162,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.9417645335842487, 'e': 0.9417645335842487}",20,0,-100.368315825494,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.9323938199059483, 'e': 0.9323938199059483}",25,0,-113.42053958684927,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.9231163463866358, 'e': 0.9231163463866358}",30,0,-180.57381103251387,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.9139311852712282, 'e': 0.9139311852712282}",35,0,-248.5992117586958,"{0: 21, 1: 2, 2: 5, 3: 3, 4: 4}",0
10,False,"{'a': 0.9048374180359595, 'e': 0.9048374180359595}",25,0,-94.31729586861643,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.8958341352965282, 'e': 0.8958341352965282}",30,0,-150.35886363233664,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.8869204367171575, 'e': 0.8869204367171575}",20,0,-80.1474192137673,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
