trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-125.75471844069487,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-91.37212937311146,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-178.23941175878312,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-171.81853991851753,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-154.87556671237576,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-199.33505249948573,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,20,-31.83276246773974,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-35.20729889003224,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-32.044674693117805,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-236.5674146390952,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-127.93006227307,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-62.72578945852737,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-197.60468631697984,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-77.57899037053176,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-81.39565947929762,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-112.69890371232,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-84.3516964977318,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-137.64715435548055,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-201.24785124848316,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,9,-41.11045165748207,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.80400269663217,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.03993205015428,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-58.5911116213109,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-135.21155483361204,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-80.86426964577299,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-57.5754167223677,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.55299915409233,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.3111395786843,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-187.08230881234076,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-75.6785716338823,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
